Date,Open,High,Low,Close,Volume
03/01/2022,"124.15","130.40","123.95","129.40","1177444"
04/01/2022,"130.80","132.45","127.15","130.90","599059"
05/01/2022,"130.00","130.60","127.55","129.35","1079703"
06/01/2022,"128.00","134.00","126.85","133.05","528618"
07/01/2022,"133.05","135.45","131.00","132.75","444683"
10/01/2022,"133.05","134.25","131.60","132.40","218438"
11/01/2022,"133.00","139.10","132.55","135.90","800710"
12/01/2022,"136.90","136.90","132.60","134.15","462213"
13/01/2022,"134.00","136.00","132.10","133.45","238608"
14/01/2022,"133.00","136.30","132.60","133.65","332341"
17/01/2022,"133.60","135.65","132.00","132.35","394248"
18/01/2022,"133.60","133.60","127.15","128.05","222869"
19/01/2022,"127.50","130.55","123.85","129.80","406579"
20/01/2022,"130.45","130.45","126.80","127.75","148518"
21/01/2022,"127.10","127.10","121.55","123.30","457535"
24/01/2022,"124.00","124.00","113.20","114.85","618860"
25/01/2022,"115.50","118.40","111.75","1172029.75","33"
27/01/2022,"116.95","118.35","113.20","116.95","639239"
28/01/2022,"119.00","121.80","117.85","118.15","379593"
31/01/2022,"120.00","120.35","116.55","117.60","195561"
01/02/2022,"119.70","122.50","118.75","122.20","337068"
02/02/2022,"123.00","126.80","122.00","126.15","312829"
03/02/2022,"126.95","127.15","124.35","124.85","330088"
04/02/2022,"127.00","129.20","123.30","123.60","680904"
07/02/2022,"125.00","125.00","119.50","120.35","171020"
08/02/2022,"121.40","121.60","117.15","118.65","320397"
09/02/2022,"118.20","120.80","118.05","118.90","678313"
10/02/2022,"120.70","121.85","118.40","120.35","332106"
11/02/2022,"120.90","120.90","116.60","117.10","533273"
14/02/2022,"115.50","115.50","110.00","111.20","497501"
15/02/2022,"113.60","115.80","109.00","114.45","451479"
16/02/2022,"115.10","117.50","114.70","115.25","527105"
17/02/2022,"115.95","116.00","113.00","113.45","1041006"
18/02/2022,"113.15","114.15","111.85","112.40","230401"
21/02/2022,"111.50","112.75","107.30","107.75","946285"
22/02/2022,"106.50","108.75","103.40","107.95","378494"
23/02/2022,"108.00","109.70","107.40","108.20","153252"
24/02/2022,"102.40","107.15","98.60","99.20","817749"
25/02/2022,"102.25","108.35","102.25","104.25","1209533"
28/02/2022,"104.00","106.25","101.25","105.65","298175"
02/03/2022,"105.10","106.35","103.00","105.05","317988"
03/03/2022,"105.70","106.80","101.75","102.65","270636"
04/03/2022,"102.00","104.30","100.30","103.20","414216"
07/03/2022,"100.00","100.75","96.85","98.65","669581"
08/03/2022,"98.65","101.30","97.00","100.10","388286"
09/03/2022,"102.20","103.35","100.00","102.75","338754"
10/03/2022,"104.80","106.50","103.15","103.80","261187"
11/03/2022,"103.90","104.45","103.00","103.45","118670"
14/03/2022,"103.60","104.45","101.90","103.90","257328"
15/03/2022,"103.90","106.00","103.80","104.70","230797"
16/03/2022,"106.05","110.50","105.25","108.55","495220"
17/03/2022,"110.00","110.85","108.05","109.80","359047"
21/03/2022,"111.00","111.00","107.40","107.75","171100"
22/03/2022,"107.55","109.95","106.35","108.95","149495"
23/03/2022,"109.50","110.65","108.50","109.35","238879"
24/03/2022,"109.40","112.35","108.15","110.00","225211"
25/03/2022,"110.10","111.45","109.05","109.25","246157"
28/03/2022,"109.85","109.85","105.40","107.15","352167"
29/03/2022,"108.95","109.10","106.85","107.35","266438"
30/03/2022,"108.50","109.95","108.00","108.30","256034"
31/03/2022,"107.80","108.70","107.30","107.65","105723"
01/04/2022,"107.50","112.25","107.50","111.90","317793"
04/04/2022,"113.00","114.30","112.40","113.85","278758"
05/04/2022,"114.95","115.20","112.90","113.35","184324"
06/04/2022,"112.45","114.40","111.80","113.65","234868"
07/04/2022,"113.50","115.60","111.40","112.70","314095"
08/04/2022,"113.50","114.20","112.55","113.50","166263"
11/04/2022,"114.95","117.70","113.75","116.45","220492"
12/04/2022,"116.90","119.20","113.05","117.85","765704"
13/04/2022,"119.50","119.95","116.85","117.35","414086"
18/04/2022,"117.35","117.35","113.80","114.55","150539"
19/04/2022,"115.90","115.90","108.10","110.20","371586"
20/04/2022,"109.50","111.30","107.50","109.90","409881"
21/04/2022,"110.25","113.90","110.25","113.65","193031"
22/04/2022,"113.40","115.50","111.70","112.45","220513"
25/04/2022,"112.20","117.80","111.90","115.75","720934"
26/04/2022,"117.80","118.35","115.30","116.75","239435"
27/04/2022,"115.35","121.90","114.65","120.55","529401"
28/04/2022,"121.80","124.10","120.55","122.35","432722"
29/04/2022,"123.80","124.50","120.20","120.75","246338"
02/05/2022,"119.55","119.55","115.60","116.85","220843"
04/05/2022,"116.30","119.00","113.10","114.25","218485"
05/05/2022,"116.00","116.00","110.40","111.00","262654"
06/05/2022,"109.20","109.65","105.30","106.80","372799"
09/05/2022,"106.30","107.80","104.20","106.20","330296"
10/05/2022,"106.20","107.95","103.40","104.15","266026"
11/05/2022,"105.60","105.60","100.50","102.45","261042"
12/05/2022,"101.45","101.90","98.15","99.65","368351"
13/05/2022,"102.90","104.85","99.50","100.05","201188"
16/05/2022,"101.80","101.80","90.05","95.05","1761160"
17/05/2022,"97.20","102.70","95.85","102.10","587080"
18/05/2022,"102.45","103.70","99.75","100.55","254854"
19/05/2022,"96.50","99.55","96.35","97.95","272520"
20/05/2022,"99.45","100.70","98.45","99.85","177995"
23/05/2022,"101.60","102.30","99.25","100.05","241592"
24/05/2022,"99.80","100.50","97.70","97.95","130748"
25/05/2022,"99.30","99.30","95.25","95.70","81825"
26/05/2022,"96.95","98.60","94.45","97.90","201284"
27/05/2022,"98.80","101.15","98.70","99.85","123377"
30/05/2022,"101.45","105.00","100.70","104.45","165510"
31/05/2022,"103.15","103.90","100.70","101.10","229647"
01/06/2022,"101.00","102.05","100.10","101.15","108185"
02/06/2022,"101.15","103.65","100.85","103.35","138777"
03/06/2022,"103.60","104.55","101.80","102.75","126710"
06/06/2022,"103.10","103.40","101.55","103.15","123209"
07/06/2022,"102.30","104.15","101.90","103.20","82413"
08/06/2022,"102.80","104.30","102.25","102.70","80221"
09/06/2022,"102.50","102.75","101.55","102.55","57442"
10/06/2022,"101.95","101.95","100.25","100.60","87503"
13/06/2022,"100.20","100.20","95.00","95.15","109834"
14/06/2022,"94.75","97.40","94.25","94.95","170472"
15/06/2022,"96.10","96.95","95.05","96.30","87034"
16/06/2022,"96.60","97.65","91.55","92.20","206497"
17/06/2022,"91.50","92.50","90.10","91.05","215419"
20/06/2022,"91.10","92.00","85.70","87.20","282938"
21/06/2022,"88.10","90.70","88.10","90.45","95104"
22/06/2022,"89.15","91.05","88.60","89.00","137252"
23/06/2022,"89.00","90.45","88.00","89.50","79731"
24/06/2022,"90.40","91.50","89.55","90.90","110309"
27/06/2022,"92.00","93.65","91.35","92.20","150728"
28/06/2022,"92.95","94.25","91.35","91.95","107811"
29/06/2022,"91.90","91.90","89.05","89.35","84695"
30/06/2022,"90.00","90.00","88.15","89.35","164107"
01/07/2022,"90.10","90.50","88.40","90.25","79892"
04/07/2022,"91.25","91.25","89.45","90.20","316954"
05/07/2022,"91.25","92.50","89.55","89.85","187060"
06/07/2022,"89.40","93.00","89.05","92.45","142399"
07/07/2022,"93.00","93.60","91.80","93.20","132899"
08/07/2022,"94.00","94.05","91.90","92.40","64412"
11/07/2022,"92.40","95.00","91.85","94.65","193034"
12/07/2022,"94.55","95.50","92.85","93.15","93602"
13/07/2022,"93.90","94.10","92.20","92.65","46468"
14/07/2022,"93.00","93.15","90.25","91.25","96901"
15/07/2022,"91.25","92.45","90.75","92.25","37258"
18/07/2022,"93.20","95.75","92.55","95.20","182902"
19/07/2022,"95.70","96.00","93.85","95.60","179193"
20/07/2022,"96.90","96.90","95.40","95.95","172493"
21/07/2022,"96.95","101.10","96.25","99.90","155849"
22/07/2022,"101.00","105.05","100.65","103.70","340976"
25/07/2022,"103.70","104.55","102.00","102.45","164718"
26/07/2022,"103.45","103.45","102.00","102.45","46922"
27/07/2022,"102.95","103.50","101.60","103.25","77226"
28/07/2022,"103.40","104.20","102.60","103.45202"","259
29/07/2022,"104.50","107.15","103.85","106.30","283233"
01/08/2022,"107.40","108.65","105.80","107.75","163112"
02/08/2022,"106.55","108.50","106.15","107.40","133058"
03/08/2022,"107.00","109.50","105.05","106.10","342187"
04/08/2022,"108.70","109.30","103.30","105.05","239989"
05/08/2022,"105.50","106.30","104.80","105.10","100932"
08/08/2022,"105.90","107.55","104.70","106.65","101879"
10/08/2022,"106.65","106.80","105.30","105.60","49153"
11/08/2022,"106.00","108.95","106.00","108.75","341143"
12/08/2022,"110.80","112.45","109.55","110.80","338885"
16/08/2022,"111.00","113.85","109.95","113.55","279245"
17/08/2022,"113.55","114.45","112.50","112.75","288047"
18/08/2022,"112.55","113.45","111.70","112.45","125245"
19/08/2022,"112.10","113.75","110.70","111.70","117782"
22/08/2022,"110.00","110.60","109.05","109.65","229345"
23/08/2022,"108.05","110.90","108.05","110.65","111014"
24/08/2022,"109.65","111.40","109.65","110.95","64767"
25/08/2022,"111.00","116.70","111.00","114.85","235247"
26/08/2022,"116.00","116.50","114.10","116.00","248145"
29/08/2022,"111.95","114.10","111.05","113.60","159814"
30/08/2022,"113.25","115.60","113.25","114.25","167292"
01/09/2022,"113.05","114.95","112.95","113.75","131783"
02/09/2022,"112.75","116.70","112.75","114.70","128637"
05/09/2022,"114.70","117.90","114.35","115.40","250855"
06/09/2022,"115.40","116.35","114.25","114.80","152686"
07/09/2022,"114.70","115.45","114.00","114.80","58533"
08/09/2022,"116.00","116.65","114.90","115.20","83080"
09/09/2022,"115.35","117.85","114.65","115.10","118665"
12/09/2022,"114.70","119.65","114.70","118.85","568179"
13/09/2022,"118.85","119.60","117.00","117.50","193162"
14/09/2022,"116.50","119.50","114.90","117.70","199003"
15/09/2022,"119.80","123.50","118.50","120.05","565977"
16/09/2022,"119.05","121.20","114.95","115.75","214191"
19/09/2022,"116.50","116.65","114.05","114.90","1295497"
20/09/2022,"115.15","117.70","115.15","117.10","213185"
21/09/2022,"117.00","118.70","115.75","117.35","170909"
22/09/2022,"116.95","117.45","114.40","115.90","214835"
23/09/2022,"115.30","115.95","110.60","111.80","144280"
26/09/2022,"110.05","111.00","107.50","107.65","97265"
27/09/2022,"107.00","109.45","107.00","108.30","146641"
28/09/2022,"107.15","109.90","106.80","108.00","74172"
29/09/2022,"109.55","110.20","107.80","109.65","168384"
30/09/2022,"108.35","112.25","108.25","111.65","85510"
03/10/2022,"111.75","112.55","108.55","109.65","96550"
04/10/2022,"110.30","115.45","110.30","115.20","126278"
06/10/2022,"115.65","117.20","115.20","115.55","191139"
07/10/2022,"115.55","115.55","113.65","115.25","133412"
10/10/2022,"113.50","115.25","113.20","114.60","59154"
11/10/2022,"114.10","115.20","111.20","111.90","1239564"
12/10/2022,"112.05","112.40","110.75","111.820295","12"
13/10/2022,"111.15","112.00","109.50","110.15","40670"
14/10/2022,"112.00","112.40","109.65","109.80","43760"
17/10/2022,"109.80","111.05","108.15","110.45","56619"
18/10/2022,"110.60","112.75","110.50","111.95","146261"
19/10/2022,"112.90","112.90","110.80","111.10","32432"
20/10/2022,"109.85","111.60","109.50","111.40","56698"
21/10/2022,"112.00","113.15","110.10","111.20","115794"
24/10/2022,"112.10","114.70","111.90","114.35","217756"
25/10/2022,"114.45","116.75","113.00","115.85","1431401"
27/10/2022,"115.80","117.50","115.45","117.30","111043"
28/10/2022,"117.75","118.75","115.70","116.15","136859"
31/10/2022,"116.25","117.75","115.85","116.85","74363"
01/11/2022,"117.20","119.85","117.20","118.20","338892"
02/11/2022,"118.25","118.75","116.80","117.90","79836"
03/11/2022,"116.90","120.20","116.45","119.70","122133"
04/11/2022,"119.85","124.50","119.00","124.10","299726"
07/11/2022,"124.95","129.65","123.30","128.45","610573"
09/11/2022,"129.40","131.65","128.10","130.60","392645"
10/11/2022,"129.95","133.40","127.25","129.30","531650"
11/11/2022,"131.00","131.30","127.65","128.50","336795"
14/11/2022,"128.50","131.25","127.15","130.40","310323"
15/11/2022,"130.40","130.50","127.20","128.10","161877"
16/11/2022,"128.40","128.90","124.35","125.55","232996"
17/11/2022,"124.65","126.50","123.85","125.70","80250"
18/11/2022,"124.25","125.90","123.15","124.95","67524"
21/11/2022,"124.00","126.70","123.60","126.40","81788"
22/11/2022,"126.45","127.50","125.20","125.60","99867"
23/11/2022,"125.60","129.80","125.60","129.00","111887"
24/11/2022,"129.05","129.95","128.30","128.85","187058"
25/11/2022,"128.15","136.00","128.15","135.35","456219"
28/11/2022,"136.10","138.10","135.05","137.00","654554"
29/11/2022,"137.45","147.50","137.00","144.10","1263283"
30/11/2022,"144.20","146.50","143.60","145.25","540679"
01/12/2022,"145.35","148.00","144.45","145.70","284168"
02/12/2022,"144.95","153.30","144.95","151.60","717980"
05/12/2022,"153.10","159.20","151.70","158.60","690041"
06/12/2022,"158.90","161.25","156.55","158.45","399282"
07/12/2022,"157.95","161.65","157.60","159.50","549448"
08/12/2022,"159.05","162.50","158.70","160.85","191135"
09/12/2022,"161.00","161.70","153.30","155.85","663612"
12/12/2022,"153.85","157.60","153.35","157.05","259361"
13/12/2022,"158.60","159.25","155.55","156.30","190255"
14/12/2022,"157.90","157.90","155.45","155.65","112222"
15/12/2022,"155.45","158.10","152.45","153.60","276705"
16/12/2022,"153.35","154.75","149.55","152.65","300498"
19/12/2022,"151.45","155.40","151.45","154.55","146064"
20/12/2022,"154.30","154.60","150.70","153.60","159980"
21/12/2022,"153.65","155.50","148.25","148.75","284186"
22/12/2022,"148.85","150.95","145.70","147.70","412043"
23/12/2022,"145.60","146.85","142.90","143.35","232472"
